trial,condition,n400_pz,p600_pz
0,congruent,1.6196019119644056,1.9229304075549276
1,congruent,-0.3754625836796957,-2.4926862361750244
2,congruent,1.7376242473835828,1.0604280797421295
3,congruent,4.559347048053959,2.0777020285854872
4,congruent,-1.272730428316086,-2.574493636475332
5,congruent,2.3046349101685903,2.6211538038523186
6,congruent,-1.3169427211426026,-1.978911655469755
7,congruent,0.3913632063111461,-1.8489538828558723
8,congruent,-0.8584644737229922,-1.576218966826392
9,congruent,-4.520863744476601,-4.6159165931861885
10,congruent,-2.7906479032137534,-1.7171099854395957
11,congruent,3.803509382427892,3.418874045032345
12,congruent,1.6667528044170818,-0.9973270292227675
13,congruent,-2.7450988111830403,-2.8161498143191435
14,congruent,2.027774919204799,1.9586049777926413
15,congruent,-2.8325665277178023,-6.237444073499335
16,congruent,0.23698408659083992,0.11750501976399322
17,congruent,1.6761035181802373,-1.4611711737760282
18,congruent,-2.6717282282148895,-5.18434478733275
19,congruent,-0.6798911811884325,-3.0800180179192567
20,congruent,-1.2664582356306169,-4.733056193742979
21,congruent,-0.9269490021423104,-3.9421615610800007
22,congruent,-0.4189533457270205,-2.04473331784244
23,congruent,-1.670897493632803,-2.222206120332007
24,congruent,0.7515119240432965,1.2947157380850254
25,congruent,0.04365797585682177,-0.7259355372396388
26,congruent,-1.325216718404147,-0.6865156630269595
27,congruent,-1.6498894768577492,-1.5724937567138282
28,congruent,-1.8650838795717408,-2.2038456514485265
29,congruent,4.312193244629589,6.003039652903631
30,congruent,-2.2577499847054914,-6.117746187547123
31,congruent,2.6627707494769166,2.8286835798438132
32,congruent,-5.941978833660414,-6.7127151904743325
33,congruent,-2.6196284508623813,-4.062416244990125
34,congruent,-1.1964653524081499,-2.437176889032138
35,congruent,-3.4409768884034255,-4.416907511730124
36,congruent,0.23982734342325196,-2.0896035939078925
37,congruent,1.7051728239475532,2.7725519227848183
38,congruent,0.5418747384056233,-1.3512063334829654
39,congruent,0.16274252644844134,-1.2855783683290951
40,congruent,1.9748292686075493,2.3369621108693375
41,congruent,0.40539606659204735,-0.14875610679023063
42,congruent,-0.7620892899800661,-0.5492439961319496
43,congruent,-3.4908510408002154,-5.470399486106131
44,congruent,6.635804708058528,4.660698952020777
45,congruent,-0.9322209081407836,-2.6101077235489387
46,congruent,-0.8441795282556573,0.5730194424275324
47,congruent,0.2705879313106283,3.182712179434571
48,congruent,-0.05268417750335368,-2.266849874753802
49,congruent,0.657898318270004,2.2823353949623133
50,incongruent,-1.3088080844429515,-4.560100013586226
51,incongruent,-0.26851848369816345,0.04725986870083028
52,incongruent,2.1650554227724177,-1.8365734366293098
53,incongruent,-3.503654209661746,-3.665524570291959
54,incongruent,-0.8535981327288336,-2.8593543125478713
55,incongruent,-2.5838282366199485,-1.353342363535384
56,incongruent,-3.6129271411490893,-2.814954974484713
57,incongruent,0.41367949961393297,-1.2239795231944492
58,incongruent,-0.8712044464469199,0.6140090155321625
59,incongruent,1.6151163300250035,-1.8084452457052467
60,incongruent,-2.8831415148636927,-4.546648274981957
61,incongruent,-1.4552495627090591,-2.4418790830539834
62,incongruent,-0.6270634431463408,-1.2502819746358131
63,incongruent,1.3583832714608248,0.4361728539676109
64,incongruent,1.7474551840717538,0.020113673639813083
65,incongruent,-2.4143192764830568,-5.817865863445245
66,incongruent,-2.1535922620234063,-5.805319862243699
67,incongruent,0.5772606704585023,-4.915787228815391
68,incongruent,1.484238008980301,-2.9000779628829254
69,incongruent,3.6089648354283446,-0.575017560920557
70,incongruent,0.7547657923487553,0.29513014603894827
71,incongruent,1.52207571625804,-0.22108808895528337
72,incongruent,0.30784727625235064,-1.7768075521904396
73,incongruent,0.29722270203570306,1.7087484565895381
74,incongruent,-1.9661744468824256,-2.2807164629382473
75,incongruent,-1.9376270594121328,-3.3025962023041444
76,incongruent,-3.7860891044825493,-4.859427825866338
77,incongruent,1.2283947756079603,0.6313155861545756
78,incongruent,-1.401459258757936,-2.124457571893004
79,incongruent,-4.042112592886043,-5.201753412671545
80,incongruent,0.7423840565199474,-3.7738571242719305
81,incongruent,-0.5485377846514946,-2.934879069709607
82,incongruent,-0.5603995572781849,-1.0781446703719377
83,incongruent,2.229731927917697,-0.16142589474702881
84,incongruent,-1.250234718355737,-1.3480754052347774
85,incongruent,-0.5011840005591197,-2.1762467730853414
86,incongruent,-2.3096836196860315,-6.535644959807313
87,incongruent,0.918496119505915,0.5596263700952642
88,incongruent,-0.926071299705594,-5.977507073395746
89,incongruent,-1.8296838068624315,-4.919220297756281
90,incongruent,-2.0225754845289634,-9.105552678135059
91,incongruent,0.47455898360178855,0.6946377595389424
92,incongruent,-2.8045575885352956,-1.5147536990264943
93,incongruent,-0.5142773611691277,-0.22455725188561979
94,incongruent,-3.4199937699528027,-3.6273427580862467
95,incongruent,0.04433648955818183,-0.7916404447131642
96,incongruent,0.5229593746747331,0.00861387957996293
97,incongruent,-5.408909814909957,-5.968841974629006
98,incongruent,-2.2526952073936406,-1.9845208926017528
99,incongruent,-0.5452902851183472,-2.269856361544802
